id,created_at,text,likes,retweets,replies
1909416907901747341,2025-04-08T01:24:00+00:00,@mainbitchclique That’s right tati said Ian finna let her ruin my brand and image😂😂 aire is giving miserable and obsessed like what is it gonna take for her to leave tati alone abt that lean belly dude 😒,0,0,0
1909416906882179152,2025-04-08T01:24:00+00:00,If she makes out with me several times does that mean she likes me??? I need help guys,0,0,0
1909416906324398189,2025-04-08T01:24:00+00:00,@elonmusk Based. LinkedIn has NEVER resulted in me getting an interview let alone a job. Just a circle jerk of people thinking they are importsnt. Easily the worst social media platform.,0,0,0
1909416903128363168,2025-04-08T01:23:59+00:00,ˢʰᵉ ʷᵒⁿ'ᵗ ᵉᵛᵉⁿ ˡᵉᵃᵛᵉ ᵐᵉ ᵃˡᵒⁿᵉ ᵒʳ ᵐʸ ᶠᵃᵐᶦˡʸ ᵃⁿᵈ ᵐʸ ᵀʷᶦᵗᵗᵉʳ ᵒʳ ᵀᵘᵐᵇˡʳ,1,0,0
1909416900758470800,2025-04-08T01:23:59+00:00,"@thatbxteee Hey hun, incase you need help with the assignments I got you",0,0,0
1909416900398080131,2025-04-08T01:23:58+00:00,My depression. https://t.co/UmO7I2Bf8o,0,0,0
1909416890289864776,2025-04-08T01:23:56+00:00,"@CristianoR61804 @pulkkochi Coming at Gumayusi fans as if he alone bore the brunt of the game’s outcome is pathetic. If anything, your obsession with discrediting Guma only exposes your own fragile bias and utter lack of critical display. Lmao. Cope accordingly.",0,0,0
1909416886850191515,2025-04-08T01:23:55+00:00,Leave me alone,0,0,0
1909416882064552021,2025-04-08T01:23:54+00:00,@ScaleraThe hello how you doing and I’m here to help anyone that needs to pay bills and rent out of any kind of situation and you can text my phone number if you need the help +1 262-885-4960,0,0,0
1909416880856875393,2025-04-08T01:23:54+00:00,"Crying doesn’t make you weak—it means you’re overwhelmed, and that’s okay. Whatever’s weighing on you right now, I’m here. You can vent, you can sit in silence with me, or you can ask for advice—whatever you need.",0,0,0
1909416879849865719,2025-04-08T01:23:54+00:00,"🚨 ALERT!
If #Zypbit is blocking your withdrawals, you’re not alone—many users are facing the same issue.
Contact me now for expert recovery support!

#sxszl #bitzora #bittrade #linkcryptocoin #ptdefi #timwex #astrocash #dexozer #blofin #CryptoRecovery #CryptoScam #Scam https://t.co/nYdlPaY2BC",0,0,0
1909416874234069323,2025-04-08T01:23:52+00:00,"Can you help me out?  I am trying to  get a free gift.
Hello friends, I need your help to click this link below to get more puppy snacks for my new pet!! 
https://t.co/EvyKZrYnrR",0,0,0
1909416866050686982,2025-04-08T01:23:50+00:00,"Hello, Mr. Ilan Mask, I'm sorry to disturb you like this, the economic situation in Iran is very bad, it is very easy for you to help a 12-year-old girl, please help me to save my daughter from cancer, please look into your child's eyes, we need your help, thank you https://t.co/0pi3qrJnz5",0,0,0
1909416865358553147,2025-04-08T01:23:50+00:00,"Of course a friend in need is a friend indeed,#CompanionIndeed thanks 🙏 to Saint Dr MSG and their volunteers to help needi persons, https://t.co/NGkiLhlR5C",0,0,0
1909416856894447915,2025-04-08T01:23:48+00:00,"How #RedSox fans berated one of their own, star Jarren Duran, into attempting suicide. https://t.co/qlmYdBluGs",0,0,0
1909416856198193627,2025-04-08T01:23:48+00:00,@Kevin_Kellyy @cooltxchick @TheAnaBraga Enjoy dyin alone you sick fuck,0,0,0
1909416854789009659,2025-04-08T01:23:48+00:00,"@theolinoutinout @TheChaosWeeber ""Muh votes""
No one's voting for that you geriatric walking cigarette pack, you're much more alone than you realize. But if you separatist dumbasses try to have a little 1776 moment loyal Canadians will be happy to put you down",0,0,0
1909416850703732896,2025-04-08T01:23:47+00:00,"@Alphafox78 There are no trans people.  However, there are people that have a need for intense help.",0,0,0
1909416845926711564,2025-04-08T01:23:45+00:00,"@theresatruth @RealAmVoice @jsolomonReports @stinchfield1776 @USSupremeCourt Antichrist @realDonaldTrump’s attorneys admitted it was an error.  God will fight the U.S. on this!  She will burn as prophesied for vexing the stranger, no longer welcoming Christians facing persecution and for continuing in drug addiction! https://t.co/cSf4d9wZLn",0,0,0
1909416844122833106,2025-04-08T01:23:45+00:00,"@LeaveDelaware @elonmusk Hello, Mr. Ilan Mask, I'm sorry to disturb you like this, the economic situation in Iran is very bad, it is very easy for you to help a 12-year-old girl, please help me to save my daughter from cancer, please look into your child's eyes, we need your help, thank you",0,0,0
1909416843095298051,2025-04-08T01:23:45+00:00,"Ion ask a mf for shit, cus I don’t need nobody feeling like I can’t do shit without they help…",1,0,0
